Player,Rounds,Rating,ACS,K/D,ADR,KPR,DPR,APR,FBPR,FDPR,HS%,FBSR
 ANGE1,4781,1.03,215.1,1.00,133.9,0.73,0.73,0.23,0.15,0.09,32%,62%
 solxiz,636,1.03,215.1,1.10,141.2,0.74,0.67,0.19,0.18,0.09,21%,66%
 YOTES,799,1.03,213.0,0.97,128.8,0.74,0.76,0.19,0.11,0.13,20%,46%
 mnz,711,1.03,212.8,1.12,139.7,0.74,0.66,0.23,0.05,0.05,23%,48%
 oderus,5806,1.03,210.9,1.05,133.6,0.73,0.70,0.21,0.13,0.12,27%,52%
 furq,1115,1.03,210.6,1.03,136.9,0.72,0.70,0.27,0.10,0.10,23%,49%
 mummAy,6558,1.03,207.0,1.15,127.4,0.74,0.65,0.21,0.13,0.08,21%,61%
 KRAY,5335,1.03,206.6,1.14,136.1,0.73,0.64,0.24,0.08,0.06,24%,54%
 NANZIN,1647,1.03,203.9,1.04,134.6,0.70,0.67,0.28,0.08,0.08,32%,51%
 TiGG,4594,1.03,203.1,1.02,132.9,0.70,0.69,0.29,0.10,0.09,20%,54%
 moose⁠,3639,1.03,202.9,1.11,133.4,0.69,0.62,0.31,0.08,0.07,24%,54%
 qRaxs,3466,1.03,201.2,1.05,129.4,0.72,0.69,0.28,0.08,0.08,30%,50%
 Kikirucha,494,1.03,201.0,1.07,132.0,0.71,0.66,0.25,0.10,0.09,22%,54%
 ohai,7998,1.03,200.6,1.04,129.0,0.71,0.68,0.29,0.10,0.10,27%,51%
 fznn,3735,1.03,199.8,1.12,131.0,0.68,0.61,0.37,0.08,0.07,21%,52%
 ezznap,1879,1.03,197.3,1.06,127.6,0.71,0.66,0.33,0.07,0.07,18%,49%
 Khalil,2672,1.03,195.4,1.09,127.3,0.69,0.64,0.27,0.07,0.07,21%,49%
 gob b,4893,1.03,195.1,1.07,130.8,0.65,0.61,0.39,0.06,0.05,24%,53%
 vice,7198,1.03,194.4,1.09,130.4,0.68,0.63,0.30,0.07,0.05,22%,55%
 Clarenz,3197,1.03,190.4,1.07,120.3,0.67,0.63,0.31,0.05,0.06,17%,45%
 champzera,1301,1.03,188.6,1.03,128.2,0.68,0.66,0.24,0.06,0.07,24%,47%
 effys,6748,1.03,185.5,1.05,125.7,0.65,0.62,0.35,0.05,0.04,20%,58%
 GC Nano,418,1.02,219.0,1.06,140.2,0.76,0.72,0.18,0.15,0.17,21%,46%
 Menace,7605,1.02,215.9,1.04,131.4,0.74,0.72,0.21,0.17,0.15,12%,53%
 miniature,5750,1.02,214.8,1.05,141.6,0.74,0.70,0.22,0.14,0.13,23%,51%
 neT,5538,1.02,213.3,1.05,135.3,0.75,0.71,0.22,0.11,0.12,30%,50%
 mandu,464,1.02,211.7,0.97,125.6,0.73,0.76,0.22,0.11,0.11,22%,49%
 Dimaoneshot,3084,1.02,211.2,0.97,134.5,0.72,0.74,0.26,0.10,0.11,27%,48%
 6ixtos,519,1.02,211.1,1.18,139.1,0.76,0.64,0.18,0.11,0.10,24%,52%
 delz1k,3254,1.02,211.1,1.10,134.6,0.75,0.68,0.30,0.10,0.09,23%,53%
 Kiwii,315,1.02,206.6,1.24,135.3,0.75,0.61,0.13,0.12,0.10,27%,54%
 delevingne,2297,1.02,206.4,1.03,125.7,0.72,0.70,0.28,0.12,0.11,18%,53%
 Docent,3455,1.02,204.8,1.01,129.5,0.71,0.70,0.25,0.10,0.09,24%,51%
 dapr,6459,1.02,203.7,1.09,126.2,0.72,0.66,0.30,0.09,0.06,19%,59%
 badsito,1153,1.02,201.8,0.99,134.1,0.70,0.71,0.33,0.10,0.11,26%,48%
 pho,7555,1.02,200.1,1.06,127.8,0.70,0.66,0.29,0.08,0.07,23%,55%
 stellar,8256,1.02,197.9,1.09,130.7,0.70,0.64,0.27,0.07,0.06,21%,55%
